mesh_descriptor_uid,name,annotation,deleted
D002481,Cellulitis,"in French literature ""cellulite"" can be CELLULITE or CELLULITIS",0
D002482,Cellulose,,0
D002483,"Cellulose, Oxidized",,0
D002484,Cementation,,0
D002485,Cementoma,"coordinate with precoordinated organ/neoplasm term",0
D002486,Centchroman,,0
D002487,"Centers for Disease Control and Prevention, U.S.","add UNITED STATES; research support by this agency is checked as RESEARCH SUPPORT, U.S. GOV'T, P.H.S.; CATALOGER: Use NAF entry",0
D002488,"Central African Republic",,0
D002489,"Central America",,0
D002490,"Central Nervous System","prefer BRAIN or SPINAL CORD; ""CNS effects"" or ""central effects"" of drugs in texts usually means BRAIN /drug eff, not CNS /drug eff",0
D002491,"Central Nervous System Agents","GEN or unspecified; prefer specific groups or specific drugs; consider also CENTRAL NERVOUS SYSTEM /drug eff & BRAIN /drug eff; DF: CNS AGENTS",0
D002492,"Central Nervous System Depressants","GEN or unspecified; prefer specific groups or specific drugs; consider also CENTRAL NERVOUS SYSTEM /drug eff or BRAIN /drug eff",0
D002493,"Central Nervous System Diseases","GEN: prefer specifics; DF: CNS DIS",0
D002494,"Central Nervous System Infections","general or unspecified; prefer specifics; coordinate with specific site/disease term if pertinent",0
D002495,"Central Supply, Hospital","do not confuse with CENTRALIZED HOSPITAL SERVICES",0
D002496,"Central Venous Pressure",,0
D002497,"Centralized Hospital Services","do not confuse with CENTRAL SUPPLY, HOSPITAL",0
D002498,Centrifugation,"as a lab technique & to simulate gravitational eff in space; NIM",0
D002499,"Centrifugation, Density Gradient","a type of ultracentrif; NIM; index sucrose density gradient centrif here but ignore SUCROSE",0
D002500,"Centrifugation, Isopycnic",,0
D002501,"Centrifugation, Zonal","a type of density gradient centrif; NIM",0
D002502,Centrioles,,0
D002503,Centromere,,0
D002504,Meclofenoxate,,0
D002505,Cephacetrile,,0
D002506,Cephalexin,,0
D002507,Cephaloglycin,,0
D002508,Cephalometry,,0
D002509,Cephaloridine,,0
D002510,Cephalosporinase,,0
D002511,Cephalosporins,,0
D002512,Cephalothin,,0
D002513,Cephamycins,,0
D002514,Cephapirin,,0
D002515,Cephradine,,0
D002516,Ceramics,"not restricted to dentistry",0
D002517,Galactosylgalactosylglucosylceramidase,,0
D002518,Ceramides,"carbohydrate ceramides: index under CEREBROSIDES (one carbohydrate group) or NEUTRAL GLYCOSPHINGOLIPIDS (more than one carbohydrate group)",0
D002519,Ceratopogonidae,"for killing Ceratopogonidae with insecticides, see note at INSECTICIDES ; gall midges: index NEMATOCERA",0
D002520,Cercopithecidae,"a family of Old World monkeys: do not confuse with CERCOPITHECINAE, a subfamily; NIM when experimental animal; diseases: coordinate with MONKEY DISEASES",0
D002521,Cercopithecus,"NIM when experimental animal; diseases: coordinate with MONKEY DISEASES",0
D002522,"Chlorocebus aethiops","NIM when experimental animal; diseases: coordinate with MONKEY DISEASES",0
D002523,"Edible Grain",,0
D002524,"Cerebellar Ataxia","DENTATE CEREBELLAR ATAXIA see MYOCLONIC CEREBELLAR DYSSYNERGIA is also available; ATAXIAS, HEREDITARY see SPINOCEREBELLAR DEGENERATION is also available",0
D002525,"Cerebellar Cortex","diseases: coordinate IM with CEREBELLAR DISEASES (IM)",0
D002526,"Cerebellar Diseases","GEN: prefer specifics",0
D002527,"Myoclonic Cerebellar Dyssynergia","do not confuse X ref RAMSAY HUNT CEREBELLAR SYNDROME with RAMSAY HUNT AURICULAR SYNDROME see HERPES ZOSTER OTICUS or RAMSAY HUNT PARALYSIS SYNDROME see PARKINSONIAN DISORDERS",0
D002528,"Cerebellar Neoplasms","coord IM with histol type of neopl (IM)",0
D002529,"Cerebellar Nuclei","diseases: coordinate IM with CEREBELLAR DISEASES (IM)",0
D002530,"Cerebellopontine Angle","diseases: coord IM with CEREBELLAR DISEASES (IM); neopl: coord (IM) with CEREBELLAR NEOPLASMS (IM) + histol type of neopl (IM)",0
D002531,Cerebellum,"cerebellar artery = CEREBELLUM /blood supply (IM) + ARTERIES (NIM)",0
D002532,"Intracranial Aneurysm",,0
D002533,"Cerebral Angiography",,0
D002534,"Hypoxia, Brain","do not confuse with BRAIN ISCHEMIA, a reduced blood supply",0
D002535,"Cerebral Aqueduct",,0
D002536,"Cerebral Arteries","general; prefer specifics; do not use for arteries of non-cerebral parts of the brain, as cerebellar artery (= CEREBELLUM/blood supply + ARTERIES); /abnorm: consider also INTRACRANIAL ARTERIOVENOUS MALFORMATIONS",0
D002537,"Intracranial Arteriosclerosis",,0
D002538,"Intracranial Arteriovenous Malformations","coordinate IM with ARTERIOVENOUS FISTULA (IM)",0
D002539,"Cerebral Arterial Diseases","coordinate IM with specific cerebral artery (IM); see note at CEREBRAL ARTERIES for scope of ""cerebral arteries""",0
D002540,"Cerebral Cortex","/surg: probably CEREBRAL DECORTICATION",0
D002541,"Cerebral Decortication","""partial or total removal, ablation or destruction of the cerebral cortex; may be chemical""; usually exper; coord IM or NIM with specific part of brain with probably /physiol (IM)",0
D002542,"Intracranial Embolism and Thrombosis","used for searching; INDEXER: Do not use; CATALOGER: Do not use",0
D002543,"Cerebral Hemorrhage","coordinate with specific site if pertinent but note specifics",0
D002544,"Cerebral Infarction",,0
D002545,"Brain Ischemia","ISCHEMIC ATTACK, TRANSIENT is available",0
D002546,"Ischemic Attack, Transient","coordinate with specific site in the brain if pertinent",0
D002547,"Cerebral Palsy","do not index under MUSCLE SPASTICITY unless especially discussed & then only NIM",0
D002548,"Cerebral Revascularization",,0
D002549,"Diffuse Cerebral Sclerosis of Schilder",,0
D002550,"Cerebral Veins",,0
D002551,"Cerebral Ventricle Neoplasms","coord IM with histol type of neopl (IM)",0
D002552,"Cerebral Ventricles","inflammation = CEREBRAL VENTRICULITIS",0
D002553,Cerebroside-Sulfatase,"/defic: consider also LEUKODYSTROPHY, METACHROMATIC",0
D002554,Cerebrosides,,0
D002555,"Cerebrospinal Fluid","IM as substance only: use the qualifier / csf with diseases & drugs; CSF production = / physiol, not / secret;  CEREBROSPINAL FLUID PRESSURE and CEREBROSPINAL FLUID PROTEINS are also  available",0
D002556,"Cerebrospinal Fluid Proteins","IM & coord with specific protein /csf (IM)",0
D002557,"Cerebrospinal Fluid Shunts","coordinate  with  destination of the shunt (NIM); VENTRICULOPERITONEAL SHUNT is available",0
D002558,"Cerebrospinal Fluid Otorrhea",,0
D002559,"Cerebrospinal Fluid Rhinorrhea",,0
D002560,"Cerebrovascular Circulation","consider also BRAIN /blood supply",0
D002561,"Cerebrovascular Disorders","general or unspecified; prefer specifics",0
D002562,"Ceremonial Behavior","human & animal",0
D002563,Cerium,,0
D002564,"Cerium Isotopes",,0
D002565,"Cerium Radioisotopes","for routine use as tracer, use no qualifiers",0
D002566,Ceroid,"a lipid pigment",0
D002567,"Certificate of Need","regional or area needs, not personal or financial need; specify geog",0
D002568,Certification,"by the profession; certification by various boards can go here but consider also LICENSURE; coordinate IM with specialty or discipline (IM); specify geographic term if pertinent; ELIGIBILITY CERTIFICATION see ELIGIBILITY DETERMINATION is also available",0
D002569,Cerulenin,"do not confuse with CERULEIN see CERULETIDE",0
D002570,Ceruloplasmin,,0
D002571,Cerumen,,0
D002572,"Cervical Plexus",,0
D002573,"Cervical Rib Syndrome",,0
D002574,"Cervical Vertebrae","IM when discussed as bones or as a coordinate with specific spinal disease (IM); NIM when locational; inflammation = CERVICAL VERTEBRAE (IM) + SPONDYLITIS (IM)",0
D002575,"Uterine Cervicitis",,0
D002577,"Uterine Cervical Diseases","inflammatory disease = UTERINE CERVICITIS",0
D002578,"Uterine Cervical Dysplasia",,0
D002579,"Uterine Cervical Erosion",,0
D002581,"Uterine Cervical Incompetence","check the tags FEMALE & PREGNANCY",0
D002582,"Cervix Mucus",,0
D002583,"Uterine Cervical Neoplasms","coordinate IM with histologic type of neoplasm (IM)",0
D002584,"Cervix Uteri","inflammation = CERVICITIS; conization = CERVIX UTERI /pathol (IM) + CONIZATION (IM)",0
D002585,"Cesarean Section","check the tags FEMALE & PREGNANCY; anesthesia in cesareans: coord IM with ANESTHESIA, OBSTETRICAL (IM)",0
D002586,Cesium,,0
D002587,"Cesium Isotopes",,0
D002588,"Cesium Radioisotopes","for routine use as tracer, use no qualifiers",0
D002589,Cestoda,"GEN; IM; infection = CESTODE INFECTIONS; /drug eff: consider also ANTICESTODAL AGENTS; for antigens, coord with ANTIGENS, HELMINTH, for antibodies, coord with ANTIBODIES, HELMINTH",0
D002590,"Cestode Infections","helminth infect; GEN only; prefer specifics; /drug ther: consider also ANTICESTODAL AGENTS",0
D002591,Cetacea,,0
D002592,Cetomacrogol,,0
D002593,"Cetrimonium Compounds",,0
D002594,Cetylpyridinium,"an anti-infective; = Cepacol",0
D002595,Cevanes,,0
D002596,Chad,,0
D002597,Chaetomium,,0
D002598,"Chagas Cardiomyopathy",,0
D002599,Chalcone,"do not confuse with CHALONES",0
D002601,Chancre,"primary lesion of syphilis: do not confuse with CHANCROID (caused by Haemophilus ducreyi)",0
D002602,Chancroid,"caused by Haemophilus ducreyi; do not confuse with CHANCRE, the primary lesion of syphilis",0
D002603,"Channel Islands","Channel refers to the English Channel",0
D002604,"Chaplaincy Service, Hospital","IM; coord with specific religion (IM) if pertinent",0
D002605,Character,,0
D002606,Charcoal,,0
D002607,"Charcot-Marie-Tooth Disease",,0
D002608,Charities,,0
D002609,"Chediak-Higashi Syndrome",,0
D002610,Cheek,"for that external portion of face or that internal portion of mouth; NIM for hamster cheek pouch; buccal mucosa = MOUTH MUCOSA (IM) + CHEEK (NIM); cheek bone fracture = ZYGOMATIC FRACTURES",0
D002611,Cheese,,0
D002612,Acinonyx,,0
D002613,Cheilitis,"inflamm of the lips",0
D002614,"Chelating Agents",,0
D002615,Chemexfoliation,,0
D002616,"Chemical Engineering",,0
D002617,"Chemical Industry",,0
D002618,"Chemical Warfare",,0
D002619,"Chemical Warfare Agents",,0
D002620,"Pharmacological and Toxicological Phenomena","used for searching; INDEXER: Do not use; CATALOGER: Do not use",0
D002621,Chemistry,"the discipline (education, history, etc) only; use CHEMICAL PHENOMENA or specifics treed under it for characteristics of chemicals and their reactions; the qualifier / chemistry is available for use with specific anatomical terms, lower organisms and chemicals; DF: CHEM",0
D002622,"Chemistry, Agricultural","use for the discipline (education, history, etc) only",0
D002623,"Chemistry Techniques, Analytical","general or unspecified; prefer specifics",0
D002624,"Chemistry, Clinical","SPEC: TN 37; SPEC qualif; do not use as NIM coord; DF: CLIN CHEM",0
D002625,"Chemistry, Organic","the discipline (education, history, etc) only; use ORGANIC CHEMISTRY PHENOMENA or specifics treed under it for properties and reaction processes of organic compounds; DF: CHEM ORG",0
D002626,"Chemistry, Pharmaceutical","use for the specialty and as an NIM coordinate",0
D002627,"Chemistry, Physical","the discipline (education, history, etc) only; use PHYSICOCHEMICAL PHENOMENA or specifics treed under it for physical phenomena related to the structure and interactive processes of chemicals",0
D002628,"Chemoreceptor Cells","note category: do not confuse with chemoreceptor proteins",0
D002629,Chemosterilants,,0
D002630,"Chemotactic Factors","/biosyn /physiol permitted",0
D002631,"Chemotactic Factors, Eosinophil",,0
D002633,Chemotaxis,,0
D002634,"Chemotaxis, Leukocyte","coordinate IM with specific type of leukocyte (IM)",0
D002635,"Chenodeoxycholic Acid",,0
D002636,Cherubism,,0
D002637,"Chest Pain","cardiac = probably ANGINA PECTORIS",0
D002638,"Chewing Gum","as a confection or as vehicle for admin of med substances",0
D002639,"Cheyne-Stokes Respiration",,0
D002640,"Chiari-Frommel Syndrome",,0
D002641,Chicago,,0
D002642,"Chick Embryo","check tag: NIM no qualifiers; chick embryo heart = CHICK EMBRYO + HEART /embryol (not FETAL HEART); transfer of chick embryo = CHICK EMBRYO /transpl not EMBRYO TRANSFER",0
D002644,Chickenpox,,0
D002645,Chickens,"diseases: coord IM with POULTRY DISEASES (IM); canned chicken: coord IM with FOOD PRESERVATION",0
D002646,"Chikungunya virus","infection = CHIKUNGUNYA FEVER",0
D002647,Chilblains,,0
D002648,Child,"almost always check tag: NIM no qualifiers; see Manual Chapter 9",0
D002649,"Child Abuse","check the tag CHILD or specific",0
D002650,"Child Abuse, Sexual","check also tag CHILD or specific; for adult survivors of child sexual abuse, check both tags CHILD or specific + relevant adult age",0
D002651,"Child Advocacy","rights of children; check also tag CHILD or specific",0
D002652,"Child Behavior","check also tag CHILD or specific; INFANT BEHAVIOR is also available",0
D002653,"Child Behavior Disorders","check the tag CHILD or specific",0
D002654,"Child Care","check also tag CHILD or specific",0
D002655,"Child Custody","check also tag CHILD or specific",0
D002656,"Child Day Care Centers",,0
D002657,"Child Development","includes infant and child but not adolescents; add the appropriate age check tag",0
D002658,"Developmental Disabilities",,0
D002659,"Child Development Disorders, Pervasive","""pervasive"" is a psychiatric diagnosis: follow text; check the tag CHILD or specific",0
D002660,"Child Guidance","SPEC; check also tag CHILD or specific",0
D002661,"Child Guidance Clinics","check also tag CHILD or specific",0
D002662,"Child Health Services","check also tag CHILD or specific",0
D002663,"Child Language","check also tag CHILD or specific",0
D002664,"Child Nutritional Physiological Phenomena","check also tag CHILD or specific",0
D002665,"Child Psychiatry","SPEC: not for mental disord in children ( = MENTAL DISORDERS (IM) + CHILD or other child check tag (NIM) ): Manual 27.9",0
D002666,"Psychology, Child","use for the specialty and also for articles on the way a normal child thinks & acts",0
D002667,"Child Reactive Disorders","child reaction to separation from parents: index under ANXIETY, SEPARATION; check also tag CHILD or specific",0
D002668,"Child Rearing","check also tag CHILD or specific; differentiate from PARENTING which emphasizes the role & responsibility of the parent while CHILD REARING emphasizes the upbringing: read MeSH definitions but if in doubt use term of author",0
D002669,"Child Welfare",,0
D002670,"Child, Abandoned","check also tag CHILD or specific",0
D002671,"Child, Exceptional","consider also CHILD, GIFTED & MENTALLY DISABLED PERSONS; check also tag CHILD or specific",0
D002672,"Child, Gifted","check also tag CHILD or specific",0
D002673,"Child, Hospitalized","not for dis in child in hosp for diag or ther: use only for hospitalized child as a psychol, sociol or social entity; check also tag CHILD or specific",0
D002674,"Child, Institutionalized","check also tag CHILD or specific",0
D002675,"Child, Preschool","almost always check tag: NIM no qualifiers; see Manual Chapter 9",0
D002676,"Child, Unwanted","check also tag CHILD or specific",0
D002677,Chile,,0
D002678,Chimera,,0
D002679,"Pan troglodytes","diseases: coordinate with APE DISEASES + specific disease /vet",0
D002680,Chin,"bone or site; usually NIM as site: submental (beneath the chin) refers to skin, fat & other tissue below the chin as in ""submental lipectomy for double chin""; /growth: consider also MAXILLOFACIAL DEVELOPMENT",0
D002681,China,"mainland China: do not confuse with TAIWAN, the Republic of China; in translations use spelling: People's Republic of China, not Peoples' nor Peoples",0
D002682,Chinchilla,,0
D002683,Chironomidae,"for killing Chironomidae with insecticides, see note at INSECTICIDES; gall midges: index NEMATOCERA",0
D002684,Chiropractic,"the discipline only (education, history, etc); use MANIPULATION, CHIROPRACTIC for chiropractic procedures",0
D002685,Chiroptera,,0
D002686,Chitin,,0
D002687,"Chitin Synthase",,0
D002688,Chitinases,,0
D002689,Chlamydia,"GEN or unspecified; prefer specific species; infection = CHLAMYDIA INFECTIONS",0
D002690,"Chlamydia Infections","do not confuse with CHLAMYDIACEAE INFECTIONS; Chlamydophila psittaci infection = PSITTACOSIS; Chlamydia trachomatis infection: see note at CHLAMYDIA TRACHOMATIS",0
D002691,"Chlamydophila psittaci","infection = PSITTACOSIS",0
D002692,"Chlamydia trachomatis","infection: coord IM with CHLAMYDIA INFECTIONS (IM) or index TRACHOMA; LYMPHOGRANULOMA VENEREUM; or CONJUNCTIVITIS, INCLUSION if specified in text",0
D002693,Chlamydiaceae,"infection = CHLAMYDIACEAE INFECTIONS",0
D002694,"Chlamydiaceae Infections","rickettsial infect",0
D002695,Chlamydiales,,0
D002696,Chlamydomonas,,0
D002697,"Chloral Hydrate",,0
D002698,Chloralose,,0
D002699,Chlorambucil,,0
D002700,Chloramines,,0
D002701,Chloramphenicol,"an antibiotic",0
D002702,"Chloramphenicol Resistance",,0
D002703,Chloranil,,0
D002704,Chlorates,,0
D002706,Chlordan,,0
D002707,Chlordiazepoxide,,0
D002708,Chlorella,,0
D002709,Chlorfenvinphos,"for use to kill or control insects, use no qualifiers on the insecticide or the insect; appropriate qualifiers may be used when other aspects of the insecticide are discussed such as the effect on a physiologic process or behavioral aspect of the insect; for poisoning, coordinate with ORGANOPHOSPHATE POISONING",0
D002710,Chlorhexidine,,0
D002711,"Chloride Peroxidase",,0
D002712,Chlorides,"only for inorganic cpds or chloride ion; /physiol permitted",0
D002713,Chlorine,,0
D002714,Chlorisondamine,,0
D002715,"Chlormadinone Acetate",,0
D002716,Chlormequat,,0
D002717,Chlormerodrin,,0
D002719,Chlormethiazole,,0
D002720,Chlormezanone,"an anti-anxiety agent & central muscle relaxant",0
D002721,omega-Chloroacetophenone,,0
D002722,Chlorobenzenes,,0
D002723,Chlorobenzoates,,0
D002724,Chlorobutanol,,0
D002725,Chloroform,,0
D002726,"Chlorogenic Acid",,0
D002727,Proguanil,,0
D002728,Chlorohydrins,,0
D002729,Chloromercuribenzoates,"P-CHLOROMERCURIBENZOIC ACID is available",0
D002730,Chloromercurinitrophenols,,0
D002731,4-Chloromercuribenzenesulfonate,,0
D002733,Chlorophenols,,0
D002734,Chlorophyll,,0
D002735,Chlorophyllides,"products of chlorophil hydrolysis",0
D002736,Chloroplasts,,0
D002737,Chloroprene,,0
D002738,Chloroquine,,0
D002739,Chloroquinolinols,,0
D002740,Chlorothiazide,,0
D002741,Chlorotrianisene,,0
D002742,Chlorphenamidine,,0
D002743,Chlorphenesin,,0
D002744,Chlorpheniramine,"a histamine H1 antag & antipruritic",0
D002745,Chlorphentermine,,0
D002746,Chlorpromazine,,0
D002747,Chlorpropamide,,0
D002748,Chlorpropham,,0
D002749,Chlorprothixene,,0
D002750,Chlorquinaldol,,0
D002751,Chlortetracycline,,0
D002752,Chlorthalidone,,0
D002753,Chlorzoxazone,,0
D002754,"Choanal Atresia",,0
D002755,"Choice Behavior",,0
D002756,"Cholagogues and Choleretics",,0
D002757,Cholanes,"do not confuse with CHOLENES",0
D002758,Cholangiography,,0
D002759,"Adenoma, Bile Duct","coordinate with BILE DUCTS, INTRAHEPATIC + BILE DUCT NEOPLASMS",0
D002760,"Cholangiopancreatography, Endoscopic Retrograde","/instrum is probably DUODENOSCOPES",0
D002761,Cholangitis,,0
D002762,Cholecalciferol,"deficiency: coordinate CHOLECALCIFEROL /defic (IM) with VITAMIN D DEFICIENCY (IM)",0
D002763,Cholecystectomy,,0
D002764,Cholecystitis,"note specifics; X ref EMPYEMA, GALLBLADDER: restrict to gallbladder; ""biliary empyema"": unless of gallbladder, index under EMPYEMA (IM) + BILIARY TRACT DISEASES (IM) or specific biliary precoord",0
D002765,Cholecystography,,0
D002766,Cholecystokinin,,0
D002767,Cholecystostomy,,0
D002768,Choledochostomy,,0
D002769,Cholelithiasis,"CHOLECYSTOLITHIASIS and CHOLEDOCHOLITHIASIS are also available",0
D002770,Cholenes,"do not confuse with CHOLANES or CHOLINE; includes choladienes, cholatrienes",0
D002771,Cholera,,0
D002772,"Cholera Toxin","/antag permitted but consider also ANTITOXINS",0
D002774,Cholestadienes,"do not confuse with CHOLESTADIENOLS",0
D002775,Cholestadienols,"do not confuse with CHOLESTADIENES",0
D002776,Cholestanes,"do not confuse with CHOLESTENES",0
D002777,Cholestanols,"do not confuse with CHOLESTANOL; beta-cholestanol = BETA-CHOLESTANOL see CHOLESTANOL",0
D002778,Cholestanones,"do not confuse with CHOLESTENONES; includes cholestanediones, cholestanetriones",0
D002779,Cholestasis,,0
D002780,"Cholestasis, Intrahepatic",,0
D002781,Cholesteatoma,"coordinate IM with organ/disease (IM) but CHOLESTEATOMA, MIDDLE EAR is available",0
D002782,Cholestenes,"do not confuse with CHOLESTANES; includes cholestatrienes",0
D002783,Cholestenones,"do not confuse with CHOLESTANONES; includes cholestenediones, cholestenetriones",0
D002784,Cholesterol,"GEN or unspecified; prefer specifics; /biosyn /physiol permitted; /blood: consider also HYPERCHOLESTEROLEMIA & specifics; cholesterol granuloma = CHOLESTEROL + GRANULOMA, FOREIGN-BODY",0
D002785,"Sterol O-Acyltransferase",,0
D002786,"Cholesterol Side-Chain Cleavage Enzyme",,0
D002787,"Sterol Esterase",,0
D002788,"Cholesterol Esters",,0
D002789,"Cholesterol Oxidase",,0
D002790,"Cholesterol 7-alpha-Hydroxylase",,0
D002791,"Cholesterol, Dietary","/adv eff: coord with disease /etiol, not /chem ind",0
D002792,"Cholestyramine Resin",,0
D002793,"Cholic Acids","cholic acid glycine conjugate = GLYCOCHOLIC ACID; cholic acid taurine conjugate = TAUROCHOLIC ACID; CHOLIC ACID is also available",0
D002794,Choline,"/biosyn /physiol permitted",0
D002795,"Choline O-Acetyltransferase",,0
D002796,"Choline Deficiency",,0
D002797,"Choline Kinase",,0
D002798,"Diacylglycerol Cholinephosphotransferase",,0
D002799,"Cholinergic Fibers","CHOLINERGIC NEURONS is also available",0
D002800,"Cholinesterase Inhibitors",,0
D002801,"Cholinesterase Reactivators","note X refs",0
D002802,Cholinesterases,"reactivation: index under CHOLINESTERASE REACTIVATORS",0
D002803,Chondro-4-Sulfatase,,0
D002804,Chondroblastoma,"benign or malignant; coordinate with BONE NEOPLASMS or precoordinated organ/neoplasm term",0
D002805,Chondrocalcinosis,"note entry term: do not index CALCIUM PYROPHOSPHATE unless particularly discussed",0
D002806,"Chondrodysplasia Punctata","spell entry term name Hunermann with an umlaut in titles & translations; CHONDRODYSPLASIA PUNCTATA, RHIZOMELIC is also available",0
D002807,Chondroitin,"/biosyn /physiol permitted; CHONDROITIN SULFATE B see DERMATAN SULFATE is available",0
D002808,"Chondroitin Lyases","do not confuse with CHONDROITIN ABC LYASE",0
D002809,"Chondroitin Sulfates",,0
D002810,"Chondroitinases and Chondroitin Lyases","CHONDROITIN LYASES is available",0
D002811,Chondroitinsulfatases,,0
D002812,Chondroma,"solitary; multiple = CHONDROMATOSIS; coordinate with precoordinated organ/neoplasm term; do not confuse X ref ENCHONDROMA with ENCHONDROMATOSIS",0
D002813,Chondrosarcoma,"coordinate with BONE NEOPLASMS or specific precoordinated bone/neoplasm term or specific bone + BONE NEOPLASMS",0
D002814,"Chorda Tympani Nerve","a branch of the facial (7th cranial) nerve; dis: coord IM with FACIAL NERVE DISEASES (IM); neopl: coord IM with CRANIAL NERVE NEOPLASMS (IM) + histol type of neopl (IM)",0
D002815,"Chordae Tendineae","for disease, coord IM with HEART VALVE DISEASES (IM); PAPILLARY MUSCLES is also available but read MeSH definition; false tendons: index PURKINJE FIBERS but see note there",0
D002816,"Chordata, Nonvertebrate",,0
D002817,Chordoma,"coordinate with precoordinated organ/neoplasm term",0
D002818,Cordotomy,,0
D002819,Chorea,"choreoathetosis = CHOREA (IM) + ATHETOSIS (IM); MORVAN'S CHOREA see MYOKYMIA and CHOREATIC DISORDERS are also available",0
D002820,"Hydatidiform Mole, Invasive","coord IM with UTERINE NEOPLASMS (IM); check the tags FEMALE & PREGNANCY",0
D002821,Chorioamnionitis,,0
D002822,Choriocarcinoma,"coordinate IM with UTERINE NEOPLASMS (IM) + FEMALE + PREGNANCY",0
D002823,Chorion,,0
D002824,"Chorionic Villi",,0
D002825,Chorioretinitis,"inflamm of choroid & retina",0
D002826,"Chorismate Mutase",,0
D002827,"Chorismic Acid",,0
D002828,Choristoma,"coord aberrant or heterotopic tissue of an organ under the organ without qualif, e.g., heterotopic pancreatic tissue in the duodenum = CHORISTOMA (IM) + DUODENAL DISEASES (IM) + PANCREAS (no qualif) (IM)",0
D002829,Choroid,"in the eye: do not confuse with CHOROID PLEXUS (in the brain); inflammation = CHOROIDITIS or CHORIORETINITIS; /blood supply consider also CILIARY ARTERIES",0
D002830,"Choroid Neoplasms","of the eye: do not confuse with neoplasms of CHOROID PLEXUS ( = CHOROID PLEXUS NEOPLASMS); coordinate with  histological type of neoplasm",0
D002831,"Choroid Plexus","in the brain: do not confuse with CHOROID (in the eye); diseases: coordinate IM with BRAIN DISEASES (IM); neoplasms = CHOROID PLEXUS NEOPLASMS",0
D002832,"Choroid Hemorrhage","of the eye, not of the choroid plexus",0
D002833,Choroiditis,"of the eye, not of the choroid plexus; consider also CHORIORETINITIS",0
D002834,"Christian Science","specify geographic location if pertinent",0
D002835,Christianity,"specify geog if pertinent",0
D002836,"Hemophilia B",,0
D002837,"Chromaffin Granules",,0
D002838,"Chromaffin System","/cytol: consider also specific CHROMAFFIN SYSTEM cell indentions",0
D002839,Chromans,"do not confuse with CHROMONES",0
D002840,Chromates,,0
D002841,Chromatiaceae,,0
D002842,Chromatids,,0
D002843,Chromatin,,0
D002844,Chromatium,"in water",0
D002845,Chromatography,"GEN: prefer specifics; NIM; on Sephadex G = GEL FILTRATION see CHROMATOGRAPHY, GEL; on DEAE Sephadex = CHROMATOGRAPHY, ION EXCHANGE",0
D002846,"Chromatography, Affinity",,0
D002847,"Chromatography, Agarose",,0
D002848,"Chromatography, DEAE-Cellulose","usually NIM; do not confuse with chromatography on DEAE Sephadex ( = CHROMATOGRAPHY, ION EXCHANGE)",0
D002849,"Chromatography, Gas","usually NIM",0
D002850,"Chromatography, Gel",,0
D002851,"Chromatography, High Pressure Liquid","usually NIM",0
D002852,"Chromatography, Ion Exchange","usually NIM",0
D002853,"Chromatography, Liquid","usually NIM",0
D002854,"Chromatography, Paper",,0
D002855,"Chromatography, Thin Layer","usually NIM",0
D002856,Chromatophores,"do not confuse with chromophores (chemical groups imparting color to a cpd); BACTERIAL CHROMATOPHORES is available",0
D002857,Chromium,,0
D002858,"Chromium Alloys",,0
D002859,"Chromium Isotopes",,0
D002860,"Chromium Radioisotopes","for routine use as tracer, use no qualifiers",0
D002861,Chromobacterium,"in soil & water",0
D002862,Chromoblastomycosis,"fungus dis of skin; coord IM with causative agent (IM)",0
D002863,"Chromogenic Compounds",,0
D002864,Chromogranins,,0
D002865,Chromomycins,"antineoplastic antibiotics",0
D002866,Chromonar,,0
D002867,Chromones,"do not confuse with CHROMANS",0
D002868,"Chromosomal Proteins, Non-Histone",,0
D002869,"Chromosome Aberrations","coordinate IM with specific numbered chromosome or sex chromosome (IM) but not with CHROMOSOMES, HUMAN",0
D002871,"Chromosome Banding",,0
D002872,"Chromosome Deletion","coordinate IM with specific numbered chromosome or sex chromosome (IM) but not with CHROMOSOMES, HUMAN",0
D002873,"Chromosome Fragility",,0
D002874,"Chromosome Mapping",,0
D002875,Chromosomes,"GEN or unspecified; prefer specifics",0
D002876,"Chromosomes, Bacterial","coordinate with specific bacterium /genet",0
D002877,"Chromosomes, Human","GEN only: prefer specifics; do not coord with pre-coord chromosome terms, such as CHROMOSOME ABERRATIONS; CHROMOSOMAL PROTEINS, NON-HISTONE; etc.: check tag HUMANS will serve for these",0
D002878,"Chromosomes, Human, Pair 1",,0
D002879,"Chromosomes, Human, Pair 10",,0
D002880,"Chromosomes, Human, Pair 11",,0
D002881,"Chromosomes, Human, Pair 12",,0
D002882,"Chromosomes, Human, Pair 13",,0
D002883,"Chromosomes, Human, Pair 14",,0
D002884,"Chromosomes, Human, Pair 15",,0
D002885,"Chromosomes, Human, Pair 16",,0
D002886,"Chromosomes, Human, Pair 17",,0
D002887,"Chromosomes, Human, Pair 18",,0
D002888,"Chromosomes, Human, Pair 19",,0
D002889,"Chromosomes, Human, Pair 2",,0
D002890,"Chromosomes, Human, Pair 20",,0
D002891,"Chromosomes, Human, Pair 21",,0
D002892,"Chromosomes, Human, Pair 22",,0
D002893,"Chromosomes, Human, Pair 3",,0
D002894,"Chromosomes, Human, Pair 4",,0
D002895,"Chromosomes, Human, Pair 5",,0
D002896,"Chromosomes, Human, Pair 6",,0
D002897,"Chromosomes, Human, Pair 7",,0
D002898,"Chromosomes, Human, Pair 8",,0
