mesh_descriptor_uid,previous_indexing,mesh_previous_indexing_id
D005447,"Fluocinolone Acetonide (1972-1974)",3561
D005448,"Steroids, Fluorinated (1974)",3562
D005450,"Spiro Compounds (1973-1974)",3563
D005451,"Photography (1966-1972)",3564
D005454,"Spectrometry, Fluorescence (1972-1978)",3565
D005462,"Radioisotopes (1966-1987)",3566
D005466,"Hydrocarbons, Fluorinated (1974-1976)",3567
D005468,"Uracil Nucleotides (1972-1974)",3568
D005473,"Propylamines (1966-1978)",3569
D005475,"Thioxanthenes (1974)",3570
D005479,"Hypnotics and Sedatives (1967-1974)",3571
D005480,"Propionates (1973-1975)",3572
D005481,"Ethers (1966-1972)",3573
D005484,"Spiro Compounds (1969-1974)",3574
D005485,"Nitro Compounds (1973-1974)",3575
D005487,"Macrophages (1966-1976)",3576
D005489,"Skin Diseases (1966-1984)",3577
D005496,"Ovulation (1966-1984)",3578
D005505,"Food Additives (1966-1974)",3579
D005508,"Motivation (1966-1968)",3580
D005518,"Food (1966-1968)",3581
D005520,"Food Additives (1966-1974)",3582
D005526,"specific food (1966-1971)",3583
D005527,"Food (1966-1969)",3584
D005529,"specific bones of foot (1966-1997)",3585
D005530,"Foot/abnormalities (1966-1987)",3586
D005531,"Foot Diseases (1966-1970)",3587
D005535,"Swine Diseases (1966-1969)",3588
D005538,"Sports (1966-1975)",3589
D005540,"Spirometry (1966-1974)",3590
D005541,"Vital Capacity (1969-1974)",3591
D005546,"Face (1966-1976)",3592
D005549,"Foreign Bodies (1966-1971)",3593
D005550,"Physicians (1966-1967)",3594
D005551,"Health Manpower (1968-1970)",3595
D005552,"Extremities (1966-1967)",3596
D005560,"Oxidoreductases (1966-1972)",3597
D005562,"Formic Acids (1972-1974)",3598
D005565,"Glutarates (1970-1974)",3599
D005566,"Formaldehyde (1966-1971)",3600
D005572,"Formularies (1966-1967)",3601
D005573,"Ribonucleotides (1973-1974)",3602
D005574,"Tetrahydrofolates (1972-1974)",3603
D005575,"Citrovorum Factor (1966-1975)",3604
D005576,"Terpenes (1966-1973)",3605
D005578,"Organophosphorus Compounds (1973-1974)",3606
D005585,"Poultry Diseases (1966-1969)",3607
D005586,"Poxvirus Infections (1966-1969)",3608
D005589,"Carnivora (1966-1967)",3609
D005593,"Fracture Fixation (1966-1969)",3610
D005594,"specific fracture/surgery (1966-1969)",3611
D005597,"Fractures (1966-1972)",3612
D005600,"X Chromosome (1978-1982)",3613
D005603,"Pasteurella (1966-1975)",3614
D005608,"Association (1966-1968)",3615
D005609,"Electron Spin Resonance (1966)",3616
D005610,"Philosophy (1966-1977)",3617
D005611,"Infertility, Female (1966-1969)",3618
D005613,"Microscopy, Electron (1966-1968)",3619
D005614,"Freeze Etching (1969-1974)",3620
D005618,"Water (1966-1971)",3621
D005630,"Polysaccharides (1973-1974)",3622
D005631,"Phosphotransferases, ATP (1974-1978)",3623
D005635,"Hexosediphosphates (1973-1977)",3624
D005636,"Hexosephosphates (1966-1970)",3625
D005637,"Uronic Acids (1974)",3626
D005641,"Furans (1972-1976)",3627
D005644,"Glycoside Hydrolases (1966-1974)",3628
D005645,"Fucosidase (1975-1984)",3629
D005646,"Oligosaccharides (1970-1974)",3630
D005647,"Transferases (1966-1971)",3631
D005649,"Hydro-Lyases (1966-1972)",3632
D005656,"Proteins (1966-1972)",3633
D005659,"Antifungal Agents (1966-1971)",3634
D005661,"Nitrofurans (1966-1977)",3635
D005666,"Pyrimidines (1973-1974)",3636
D005668,"Nitrofurans (1966-1977)",3637
D005669,"Picolinic Acids (1969-1974)",3638
D005674,"Fusobacterium (1966-1967)",3639
D005675,"Fusobacterium (1966-1974)",3640
D005676,"Protective Clothing (1970-1974)",3641
D005677,"Gangliosides (1966-1976)",3642
D005678,"Gangliosides (1974)",3643
D005679,"Gangliosides (1966-1976)",3644
D005680,"Aminobutyric Acids (1966-1974)",3645
D005683,"Reflex (1966-1970)",3646
D005685,"Polysaccharides (1966-1978)",3647
D005686,"Phosphotransferases, ATP (1974-1978)",3648
D005688,"Hexosamines (1966-1970)",3649
D005691,"Alcohol Oxidoreductases (1966-1977)",3650
D005692,"Galactose (1966-1974)",3651
D005694,"Uracil Nucleotides (1974)",3652
D005695,"Hexosephosphates (1966-1977)",3653
D005697,"Glycosides (1966-1974)",3654
D005698,"Glycoside Hydrolases (1972-1974)",3655
D005699,"Glycosphingolipids (1975-1978)",3656
D005700,"Hexosyltransferases (1972-1975)",3657
D005701,"Anthropoidea (1966-1974)",3658
D005709,"Radioisotopes (1966-1973)",3659
D005710,"Radioisotopes (1966-1974)",3660
D005711,"Iproveratril (1973-1974)",3661
D005716,"Operations Research (1966-1968)",3662
D005721,"Peptide Synthetases (1973-1976)",3663
D005722,"Pyrrolidonecarboxylic Acid (1972-1974)",3664
D005723,"Acyltransferases (1966-1971)",3665
D005726,"Parasympathetic Nervous System (1966-1979)",3666
D005728,"Sympathetic Nervous System (1966-1979)",3667
D005731,"Autonomic Agents (1966-1970)",3668
D005733,"Lipoidosis (1966-1975)",3669
D005736,"Neoplasms, Multiple Primary (1966-1980)",3670
D005741,"Gases (1966-1975)",3671
D005744,"Gastric Juice (1966-1980)",3672
D005746,"Stomach (1966-1977)",3673
D005748,"Stomach (1966-1980)",3674
D005749,"Peptides (1974-1976)",3675
D005757,"Gastritis (1966-1980)",3676
D005758,"Hypertrophy (1966-1980)",3677
D005761,"Swine Diseases (1966-1969)",3678
D005772,"Gastrointestinal System (1966-1987)",3679
D005775,"specific organism/EM (1966-1979)",3680
D005777,"Poultry (1966-1967)",3681
D005778,"Terpenes (1969-1977)",3682
D005783,"Sex (1968-1975)",3683
D005784,"Plasmids (1975-1979)",3684
D005785,"Recombination, Genetic (1968-1979)",3685
D005786,"Translation, Genetic (1973-1980)",3686
D005787,"Genetics, Population (1966-1967)",3687
D005788,"Genetics, Population (1966-1977)",3688
D005791,"Patient Care Planning (1993-1997)",3689
D005792,"Family Practice (1966)",3690
D005797,"Operon (1971-1987)",3691
D005798,"specific bacterium/GE (1978-1981)",3692
D005799,"Genes (1966-1967)",3693
D005800,"specific fungus/genetics (1978-1979)",3694
D005801,"Morphogenesis (1983-1986)",3695
D005802,"Genes, Structural (1968-1977)",3696
D005803,"specific immunoglobulin chain or region (1975-1987)",3697
D005804,"Genes (1966-1967)",3698
D005805,"Major Histocompatibility Complex (1980-1987)",3699
D005807,"specific microbial gene heading (1978-1987)",3700
D005808,"Genes (1966-1967)",3701
D005809,"Genes (1966-1967)",3702
D005810,"Genes, Viral (1978-1986)",3703
D005812,"Genes, Structural (1977-1987)",3704
D005813,"Oligodeoxyribonucleotides/chemical synthesis (1976-1979)",3705
D005814,"RNA, Viral (1966-1977)",3706
D005816,"Genetics (1966-1967)",3707
D005817,"Eugenics (1966-1972)",3708
D005818,"Genetics, Medical (1966-1972)",3709
D005819,"Recombination, Genetic (1968-1979)",3710
D005820,"Mass Screening (1968-1977)",3711
D005822,"Plasmids (1975-1979)",3712
D005824,"Genetics (1966-1967)",3713
D005827,"Genetics (1966-1967)",3714
D005834,"Urogenital Neoplasms (1966-1977)",3715
D005838,"Genetics (1966-1967)",3716
D005842,"specific geographic location (1966-1997)",3717
D005849,"Rodentia (1966-1967)",3718
D005851,"Nursing Care (1966)",3719
D005852,"Psychiatry (1966-1974)",3720
D005861,"Veratrum (1972-1974)",3721
D005865,"Infant, Premature (1966-1967)",3722
D005866,"Pregnanes (1971)",3723
D005867,"Norgestrienone/analogs & derivatives (1975-1978)",3724
D005871,"Lymph Nodes (1966-1986)",3725
D005880,"Fishes (1966-1967)",3726
D005883,"Gingiva (1966-1972)",3727
D005887,"Mouth Neoplasms (1966-1970)",3728
D005888,"Periodontitis (1968-1974)",3729
D005889,"Gingival Diseases (1966-1984)",3730
D005895,"Stomach (1966-1967)",3731
D005897,"Quinolines (1972-1974)",3732
D005899,"Dental Cements (1972-1979)",3733
D005902,"Glaucoma (1966-1981)",3734
D005903,"Plant Proteins (1973-1974)",3735
D005904,"Nerve Tissue Proteins (1966-1984)",3736
D005905,"Hypoglycemic Agents (1966-1970)",3737
D005907,"Sulfonylurea Compounds (1972-1974)",3738
D005911,"appropriate heading/PA (1966-1968)",3739
D005912,"Piperazines (1972-1974)",3740
D005913,"Sulfonylurea Compounds (1971-1974)",3741
D005915,"Glycosphingolipids (1975-1978)",3742
D005920,"Kidney Glomerulus (1966-1983)",3743
D005922,"IGA/immunology (1973-1984)",3744
D005923,"Kidney Glomerulus (1966-1976)",3745
D005935,"Islet Cell Tumor (1966-1981)",3746
D005936,"Polysaccharides (1966-1978)",3747
D005937,"Sugar Acids (1974)",3748
D005938,"Adrenal Cortex Hormones (1966)",3749
D005945,"Glutamine (1970-1974)",3750
D005948,"Alcohol Oxidoreductases (1966-1977)",3751
D005950,"Hypertonic Solutions (1969-1974)",3752
D005957,"Uridine Diphosphate Sugars (1973-1974)",3753
D005958,"Hexosephosphates (1966-1971)",3754
D005961,"Thioglycosides (1974)",3755
D005962,"Glycoside Hydrolases (1970-1974)",3756
D005963,"Glycosphingolipids (1975-1978)",3757
D005967,"Salivary Proteins (1977-1987)",3758
D005968,"Glutamates (1973-1974)",3759
D005970,"NADP (1974)",3760
D005974,"Ligases (1966-1971)",3761
D005975,"Glutamates (1972-1974)",3762
D005979,"Peroxidases (1968-1974)",3763
D005981,"Peptide Synthetases (1973-1976)",3764
D005982,"Transferases (1970-1976)",3765
D005986,"Glyceraldehyde (1966-1974) /AA (1975-1979)",3766
D005991,"Phosphotransferases, ATP (1974)",3767
D005992,"Glycerophosphates (1972-1974)",3768
D005995,"Glycerin/analogs & derivatives (1975-1987)",3769
D005999,"Glycocholic Acid (1973-1977)",3770
D006001,"Peptidoglycan (1971-1987)",3771
D006002,"Glycocholic Acid (1973-1977)",3772
D006004,"Glycogen (1973-1975)",3773
D006005,"Glucosyltransferases (1966-1970)",3774
D006006,"Glucosyltransferases (1966-1971)",3775
D006007,"Glycogen Synthetase (1973-1974)",3776
D006009,"Heart Diseases (1966-1974)",3777
D006010,"Liver Diseases (1966-1974)",3778
D006011,"Liver Diseases (1966-1974)",3779
D006012,"Muscular Diseases (1966-1974)",3780
D006013,"Liver Diseases (1966-1974)",3781
D006014,"Glycogenosis (1966-1974)",3782
D006015,"Glycogenosis (1966-1974)",3783
D006020,"specific polysaccharide (1966-1970)",3784
D006021,"Sialic Acids (1975-1976)",3785
D006022,"Hexosyltransferases (1973-1975)",3786
D006025,"Mucopolysaccharides (1966-1974)",3787
D006028,"Sphingolipids (1972-1974)",3788
D006031,"Protein Processing, Post-Translational (1983-1986)",3789
D006032,"Glycine (1972-1974)",3790
D006034,"Triterpenes (1974-1976)",3791
D006040,"Motivation (1966-1974)",3792
D006043,"Goiter (1966-1968)",3793
D006044,"Goiter (1966-1971)",3794
D006050,"Radioisotopes (1966-1974)",3795
D006051,"Gold (1966-1972)",3796
D006052,"Gold (1966-1972)",3797
D006053,"Mandibulofacial Dysostosis (1966-1978)",3798
D006055,"Sports (1966-1975)",3799
D006059,"Turner Syndrome (1967-1979)",3800
D006060,"Turner's Syndrome (1967-1979)",3801
D006061,"Turner's Syndrome (1967-1979)",3802
D006071,"Pongidae (1966-1974)",3803
D006074,"Uricosuric Agents (1966-1974)",3804
D006075,"Public Health Administration (1966-1967)",3805
D006077,"Government (1966-1967)",3806
D006078,"Government (1967-1997)",3807
D006082,"Transplantation, Homologous (1966-1979)",3808
D006084,"Transplantation Immunology (1966-1970)",3809
D006085,"Transplantation Immunology (1966-1972)",3810
D006087,"Transplantation Immunology (1966-1969)",3811
D006088,"Bacteria (1966-1975)",3812
D006089,"Bacteria (1966-1975)",3813
D006090,"Bacteria (1966-1983)",3814
D006091,"Schizomycetes (1973-1974)",3815
D006092,"Gram-Negative Bacteria (1973-1975)",3816
D006094,"Bacteria (1966-1983)",3817
D006095,"Gram-Positive Bacteria (1973-1991)",3818
D006098,"Leukocytes (1966-1974)",3819
D006104,"Plasma Cells (1966-1983)",3820
D006105,"Phagocytosis (1966-1971)",3821
D006110,"Insects (1966-1971)",3822
D006119,"Inguinal Canal (1966-1980)",3823
D006120,"Behavior, Animal (1966-1967)",3824
D006124,"Group Practice (1966)",3825
D006125,"Insurance, Health (1966-1979)",3826
D006127,"Group Processes (1966-1967)",3827
D006130,"Growth (1966-1968)",3828
D006132,"Epiphyses (1966-1983)",3829
D006135,"Orthoptera (1975-1985)",3830
D006136,"Guanosine Triphosphate (1974)",3831
D006143,"Imines (1973-1974)",3832
D006144,"Triazoles (1972-1974)",3833
D006148,"Guanine (1973-1974)",3834
D006151,"Nucleosides (1966-1971)",3835
D006152,"Guanine Nucleotides (1966-1971)",3836
D006153,"Guanine Nucleotides (1966-1977)",3837
D006154,"Nucleoside Diphosphate Sugars (1973-1974)",3838
D006155,"Nucleoside Diphosphate Sugars (1973-1974)",3839
D006156,"Nucleoside Diphosphate Sugars (1973-1974)",3840
D006157,"Guanine Nucleotides (1966-1974)",3841
D006158,"Guanine Nucleotides (1966-1977)",3842
D006159,"Guanine Nucleotides (1966-1977)",3843
D006160,"Guanine Nucleotides (1966-1971)",3844
D006162,"Nucleotidyltransferases (1966-1972)",3845
D006163,"Ribonucleases (1974)",3846
D006164,"Thiourea (1966-1978)",3847
D006165,"Guanosine Triphosphate (1972-1977)",3848
D006170,"Polysaccharides (1966-1979)",3849
D006178,"Ethnology (1966-1967)",3850
D006180,"Adenosine Triphosphatase (1966-1982)",3851
D006182,"Histocompatibility Antigens (1973-1978)",3852
D006183,"Transplantation Immunology (1966-1969)",3853
D006185,"Learning (1966-1967)",3854
D006192,"Haemophilus (1966-1967)",3855
D006198,"Organ of Corti (1966-1976)",3856
D006199,"Organ of Corti (1966-1976)",3857
D006200,"Pigments (1966-1975)",3858
D006201,"Skin Appendage Diseases (1968-1979)",3859
D006202,"Hair Color (1976-1978)",3860
D006203,"Hair (1966-1979)",3861
D006206,"Pregnenediones (1974-1978)",3862
D006207,"specific radioisotope, substance, or cell",3863
D006216,"Pseudomonadaceae (1975)",3864
D006218,"Glycolates (1966-1972)",3865
D006223,"Neoplasms, Multiple Primary (1966-1986)",3866
D006235,"Sterilization (1966-1974)",3867
D006238,"Chromosomes (1966-1967)",3868
D006239,"specific histocompatibility antigen (1975-1986)",3869
D006240,"Emotions (1966-1969)",3870
D006246,"Pyridines (1972-1974)",3871
D006247,"Pyridines (1969-1974)",3872
D006248,"Dioxoles (1972-1976)",3873
D006249,"Sarcodina (1966-1971)",3874
D006251,"Mouse Tumor Viruses (1966-1979)",3875
D006256,"Waste Products (1976-1987)",3876
D006265,"Health Planning Organizations (1980-1985)",3877
D006268,"specific facility (1966-1967)",3878
D006271,"Hospital Administration (1966-Jul 1977)",3879
D006275,"Hospital Design and Construction (1966-1967)",3880
D006276,"Hospitals (1966-1967)",3881
D006277,"Health Education (1966-1982)",3882
D006279,"Insurance, Health (1966-1970)",3883
D006280,"Health Occupations (1966-1967)",3884
D006282,"Health Manpower (1966-1991)",3885
D006283,"Radiation Protection (1966)",3886
D006284,"Health Planning (1968-1979)",3887
D006285,"Social Welfare (1966-1967)",3888
D006286,"Health Planning (1968-1979)",3889
D006287,"Health Planning (1968-1979)",3890
D006289,"Health Planning (1968-1979)",3891
D006291,"Public Policy (1978-1979)",3892
D006297,"Health Services (1974-1977)",3893
D006298,"Public Health Administration (1969-1997)",3894
D006299,"specific health service (1966-1979)",3895
D006302,"Research (1966-1979)",3896
D006304,"Health Surveys (1966-1979)",3897
D006307,"Health Planning (1968-1977)",3898
D006312,"Deafness (1966-1978)",3899
D006313,"Deafness (1966-1978)",3900
D006314,"Deafness (1966-1978)",3901
D006315,"Deafness (1966-1978)",3902
D006316,"Deafness (1966-1978)",3903
D006317,"Noise (1966-1978)",3904
D006319,"Deafness (1966-1978)",3905
D006340,"Heart Rate (1966-1986)",3906
D006341,"Rupture, Spontaneous (1966-1977)",3907
D006342,"Myocardial Infarction (1979-1986)",3908
D006349,"Heart Diseases (1966)",3909
D006353,"Pacemaker, Artificial (1966-1985)",3910
D006354,"Heart-Lung Machine (1966)",3911
D006357,"Rickettsial Infections (1966-1969)",3912
D006360,"Proteins (1966-1983)",3913
D006364,"Insectivora (1966-1971)",3914
D006372,"Snails (1966-1974)",3915
D006374,"Helminthiasis/veterinary (1966-1997)",3916
D006377,"T-Lymphocytes (1973-1982)",3917
D006378,"specific virus (1966)",3918
D006379,"specific interpersonal relations heading",3919
D006382,"Hemagglutination (1966-1969)",3920
D006387,"Hemagglutination (1966-1969)",3921
D006388,"Antibodies (1966-1974)",3922
D006389,"Antigens (1966)",3923
D006397,"Anemia/drug therapy (1966-1974)",3924
D006399,"Vaginal Diseases (1966-1978)",3925
D006403,"Hematology (1966-1977)",3926
D006409,"Uterine Diseases (1966-1974)",3927
D006411,"Hematopoietic Stem Cells (1971-1986)",3928
D006412,"Bone Marrow/cytology (1966-1970)",3929
D006414,"Phototherapy (1981-1985)",3930
D006416,"Indenes (1973-1974)",3931
D006419,"Oxygenases (1966-1979)",3932
D006420,"Proteins (1966-1972)",3933
D006422,"Metalloproteins (1973-1974)",3934
D006424,"Immune System (1966-1997)",3935
D006426,"Morpholines (1966-1971)",3936
D006430,"Insects (1966-1974)",3937
D006431,"Liver/injuries (1966-1979)",3938
D006434,"Hemolymph (1966-1976)",3939
D006435,"Kidney, Artificial (1966)",3940
D006436,"Hospital Units (1974-1981)",3941
D006437,"Peritoneal Dialysis (1966-1972)",3942
D006438,"Plasma Substitutes (1966-1978)",3943
D006440,"Ultrafiltration (1973-1987)",3944
D006441,"Hemoglobins (1966-1976)",3945
D006442,"Hemoglobins (1966-1976)",3946
D006443,"Hemoglobins (1966-1976)",3947
D006446,"Hemoglobins, Abnormal (1966-1976)",3948
D006448,"Hemoglobins, Abnormal (1966-1976)",3949
D006449,"Hemoglobins, Abnormal (1966-1976)",3950
D006450,"Hemoglobin C Disease (1966-1983)",3951
D006451,"Hemoglobins, Abnormal (1966-1972)",3952
D006459,"Plasmids (1966-1977)",3953
D006462,"Antibody Formation (1966-1968)",3954
D006463,"Uremia (1966-1971)",3955
D006464,"Perfusion (1966-1977)",3956
D006466,"Heme (1966-1970)",3957
D006472,"Hemorrhage (1966)",3958
D006477,"Arboviruses (1966-1974)",3959
D006478,"Hemorrhagic Fevers, Viral (1966-1976)",3960
D006479,"Hemorrhagic Fevers, Viral (1966-1976)",3961
D006480,"Hemorrhagic Fevers, Viral (1966-1976)",3962
D006481,"Hemorrhagic Fevers, Viral (1966-1976)",3963
D006482,"specific hemorrhagic fever (1977)",3964
D006488,"Hemostasis (1966-1975)",3965
D006489,"Hemostasis (1966-1975)",3966
D006492,"Organophosphorus Compounds (1972-1974)",3967
D006495,"Heparin (1966-1987)",3968
D006497,"Mucopolysaccharides (1966-1971)",3969
D006504,"Liver/blood supply (1966-1986)",3970
D006508,"Antibodies, Viral (1973-1984)",3971
D006510,"Immune Sera (1966-1972)",3972
D006511,"Hepatitis B Virus (1966-1972)",3973
D006512,"Hepatitis B Virus (1970-1972)",3974
D006513,"Hepatitis B Virus (1966-1972)",3975
D006514,"Hepatitis B Virus (1970-1972)",3976
D006519,"Hepatitis, Toxic (1966-1977)",3977
D006521,"Hepatitis B (1966-1982)",3978
D006522,"Hepatitis, Animal (1966-1970)",3979
D006524,"Hepatitis, Animal (1966-1976)",3980
D006525,"Hepatitis A (1966-1976)",3981
D006526,"Hepatitis, Viral, Human (1977-1979)",3982
D006530,"Syndrome (1972-1986)",3983
D006531,"Piperazines (1970-1974)",3984
D006533,"Insecticides (1966-1970)",3985
D006535,"Amino Alcohols (1969-1975)",3986
D006536,"Hydrocarbons (1966-1977)",3987
D006537,"Fatty Acids (1969-1974)",3988
D006538,"Fatty Acids (1966-1974)",3989
D006556,"Substance Dependence (1966-1972)",3990
D006558,"Herpes Simplex (1966-1981)",3991
D006559,"Dermatitis Herpetiformis (1966-1975)",3992
D006567,"Herpesviridae (1966-1974)",3993
D006568,"Herpesviridae (1966-1970)",3994
D006570,"Chromosomes (1966-1967)",3995
D006577,"Oxides (1966-1974)",3996
D006578,"Trematoda (1966-1981)",3997
D006579,"Genetics (1966-1967)",3998
D006580,"Heterozygote (1968-1978)",3999
D006581,"Chlorobenzenes (1974)",4000
D006583,"Polymers (1972-1974)",4001
D006585,"Triazines (1970-1974)",4002
D006586,"Hydrocarbons (1966-1977)",4003
D006588,"Ketones (1966-1974)",4004
D006592,"Ethylenediamines (1971-1974)",4005
D006594,"Phenethylamines (1972-1974)",4006
D006596,"Glycoside Hydrolases (1966-1970)",4007
D006598,"Hexosephosphates (1966-1972)",4008
D006599,"Uridine Diphosphate Sugars (1970-1974)",4009
D006602,"Transferases (1966-1971)",4010
D006603,"Uronic Acids (1971-1974)",4011
D006609,"Nucleoproteins (1966-1981)",4012
D006610,"Syndrome (1972-1985)",4013
D006611,"Respiration, Artificial (1966-1987)",4014
D006612,"Respiration, Artificial (1966-1987)",4015
D006614,"Leg (1966-1967)",4016
D006619,"Hip Dislocation, Congenital/veterinary (1966-1975)",4017
D006620,"Fractures (1966-1977)",4018
D006622,"Prosthesis (1966-1970)",4019
D006627,"Megacolon (1966-1982)",4020
D006630,"specific state (1966-1977)",4021
D006633,"Histamine H1 Receptor Blockaders (1966-1976)",4022
D006637,"Methyltransferases (1973-1974)",4023
D006640,"Histidine (1973-1974)",4024
D006641,"Imidazoles (1972-1974)",4025
D006642,"Phosphatases (1973-1974)",4026
D006643,"Histidine (1972-1974)",4027
D006646,"Reticuloendotheliosis (1966-1974)",4028
D006648,"Transplantation Immunology (1966-1967)",4029
D006649,"Transplantation Immunology (1966-1969)",4030
D006650,"Transplantation Immunology (1966-1967)",4031
D006655,"Histones (1971-1974)",4032
D006656,"Protein Kinases (1974)",4033
D006677,"Hysteria (1966-1968)",4034
D006678,"Human T-Cell Leukemia Virus (1984-1986)",4035
D006679,"Human T-Cell Leukemia Virus (1984-1986)",4036
D006680,"Histocompatibility Antigens (1973-1974)",4037
D006681,"Antigens, Immune Response (1981-1986)",4038
D006682,"Antigens, Immune Response (1981-1986)",4039
D006683,"Antigens, Immune Response (1981-1986)",4040
D006684,"Antigens, Immune Response (1981-1986)",4041
D006688,"Sports (1966-1975)",4042
D006690,"Piperazines (1971-1975)",4043
D006692,"RNA Viruses (1966-1978)",4044
D006696,"Photography (1966-1968)",4045
D006697,"Toxins (1970-1974)",4046
D006698,"Ink Blot Tests (1966-1970)",4047
D006700,"Delivery (1966-1982)",4048
D006702,"Behavior, Animal (1966-1967)",4049
D006703,"Transients and Migrants (1966-1985)",4050
D006704,"Home Care Services (1966-1972)",4051
D006709,"Guanidines (1972-1974)",4052
D006711,"Aminobutyric Acids (1966)",4053
D006712,"Mental Retardation (1966)",4054
D006713,"Phenylacetates (1966-1970)",4055
D006714,"Hydroxybutyrates (1966-1970)",4056
D006715,"Homoserine (1973-1974)",4057
D006716,"Homosexuality (1966-2012)",4058
D006720,"Genetics (1966-1967)",4059
D006724,"specific animal",4060
D006727,"Hormones/antagonists & inhibitors (1968-1974)",4061
D006733,"specific animal (1966-1967)",4062
D006735,"Plants (1972-1975)",4063
D006737,"Crustacea (1966-1976)",4064
D006738,"Hospitals, Special (1968-Jul 1977)",4065
D006740,"Hospital Administration (1966-1977)",4066
D006742,"Health Facility Size (1968-1974)",4067
D006743,"Hospital Bed Capacity, 100 to 299 (1978-1979)",4068
D006744,"Hospital Bed Capacity (1975-1977)",4069
D006745,"Hospital Bed Capacity (1975-1977)",4070
D006746,"Hospital Bed Capacity (1975-1977)",4071
D006748,"Hospital Administration (1966-1967)",4072
D006752,"Hospital Design and Construction (1966-1967)",4073
D006754,"Hospital Administration (1966-1983)",4074
D006755,"specific department",4075
D006759,"Medical Staff, Hospital (1978-1985)",4076
D006763,"Hospitals, Special (1968-1977)",4077
D006764,"Hospitals (1966-1972)",4078
D006769,"Hospitals (1966-1967)",4079
D006770,"Hospitals (1966-Jul 1977)",4080
D006774,"Osteopathic Medicine (1966-1981)",4081
D006775,"Hospitals (1966)",4082
D006780,"Rural Population (1968-1985)",4083
D006782,"Hospitals (1966-1967)",4084
D006784,"Hospitals (1966-1967)",4085
D006786,"Urban Population (1968-1985)",4086
D006789,"Transplantation Immunology (1966-1972)",4087
D006790,"specific host, organ, disease/parasitology (1975-1979)",4088
D006791,"Hate (1966-1967)",4089
D006799,"Housing (1966-1971)",4090
D006800,"Retrovirus Infections (1981-1986)",4091
D006806,"Civil Rights (1968-1972)",4092
D006808,"Philosophy, Medical (1966-1977)",4093
D006822,"Tissue Culture (1966-1971)",4094
D006823,"Hybridization (1966-1967)",4095
D006825,"Hybrid Cells (1975-1981)",4096
D006826,"Thioxanthenes (1974)",4097
D006829,"Coelenterata (1966-1971)",4098
D006835,"specific hydrazine (1966-1971)",4099
D006850,"Hydrocephalus (1966-1970)",4100
D006853,"Morphinans (1970-1974)",4101
D006858,"Fluorides (1966-1971)",4102
D006862,"Sulfides (1966-1970)",4103
D006864,"Oxidoreductases (1966-1984)",4104
D006865,"Hydrogen (1966-1970)",4105
D006868,"Chemistry, Physical (1966-1970)",4106
D006874,"Pressure (1966-1972)",4107
D006880,"Fatty Acids (1966-1974)",4108
D006881,"Hydroxamic Acids (1966-1974)",4109
D006888,"Cholesterol (1966-1977)",4110
D006889,"Mineralocorticoids (1967-1971)",4111
D006892,"Phenethylamines (1966-1972)",4112
D006893,"Fatty Acids, Essential (1966)",4113
D006894,"Hydroxysteroids (1972-1975)",4114
D006895,"Starch (1971-1974)",4115
D006896,"Rutin (1972-1974)",4116
D006900,"Chemistry, Organic (1966-1970)",4117
D006901,"Lysine (1966-1970)",4118
D006902,"Organometallic Compounds (1968-1971)",4119
D006903,"Mevalonic Acid (1966-1974)",4120
D006904,"Ketoacid-Lyases (1973-1974)",4121
D006906,"Uracil (1972-1974)",4122
D006911,"Prostaglandins (1966-1974)",4123
D006912,"Quinolines (1966-1974)",4124
D006915,"Testosterone (1972-1976)",4125
D006917,"Indoles (1970-1974)",4126
D006918,"Urea (1966)",4127
D006921,"Antibiotics (1970-1974)",4128
D006923,"Coumarins (1969-1974)",4129
D006925,"Cestode Infections (1966-1967)",4130
D006926,"Cestoda (1966-1974)",4131
D006927,"specific insect",4132
D006938,"Hyperlipidemia/familial & genetic (1966-1979)",4133
D006942,"Blood Protein Disorders (1966-1968)",4134
D006944,"Osmolar Concentration (1970-1976)",4135
D006945,"Sweating (1966-1975)",4136
D006948,"Movement Disorders (1966-1967)",4137
D006951,"Hyperlipidemia (1966-1979)",4138
D006952,"Hyperlipidemia/familial & genetic (1966-1979)",4139
D006953,"Hyperlipidemia (1966-1979)",4140
D006954,"Hyperlipidemia (1966-1979)",4141
D006959,"Oxalates/urine (1966-1986)",4142
D006962,"Hyperparathyroidism (1966-1969)",4143
D006963,"Feeding Behavior (1969-1980)",4144
D006966,"Prolactin/blood (1966-1985)",4145
D006978,"Hypertension, Renal (1966-1978)",4146
D006981,"Thyroxine/blood (1966-1986)",4147
D006986,"Vitamin A (1966-1986)",4148
D006994,"Aldosterone (1966-1987)",4149
D006995,"Lipoproteins, LDL (1972-1977)",4150
D006997,"Sodium Hypochlorite (1966-1974)",4151
D006999,"Ascomycetes (1966-1974)",4152
D007000,"Myiasis (1966-1967)",4153
D007005,"Cyclopropanes (1970-1976)",4154
D007007,"Sweating (1966-1974)",4155
D007009,"Lipoproteins, HDL (1972-1977)",4156
D007012,"Pharyngeal Neoplasms (1966-1984)",4157
D007013,"Pharynx (1966-1978)",4158
D007017,"Pituitary Gland/drug effects (1977-1981)",4159
D007025,"Hypothalamus, Anterior (1975-1982)",4160
D007026,"Hypothalamus (1966-1982)",4161
D007027,"Hypothalamus (1966-1980)",4162
